,model,type,role in the study
0,Double-exp fit,empirical curve fit,"physical floor — if a fixed curve matches the NN, the NN adds nothing"
1,SVR,classic ML (non-recurrent),data-driven floor on flattened windows
2,GRU,recurrent baseline,lightweight RNN reference
3,LSTM,recurrent baseline,stronger RNN (more gates/params)
4,Transformer (light),attention baseline,edge-sized attention model (matched to deployable budget)
5,Transformer (heavy),attention (high-capacity),large attention model — high-capacity accuracy reference
6,Neural-ODE,genuine PIML,continuous-time latent dynamics; extreme-hardware comparator
7,Backbone-64 (no physics),matched-capacity control,"identical 41k backbone and t-channel as the hybrids, physics loss off"
8,Hybrid route A,PINN (closed-form prior),penalize deviation from the fitted curve; no autograd solver
9,Hybrid route B,PINN (ODE residual),learnable Verhulst residual; the main proposed model
